类别,名称,细类,距离_km,纬度,经度,地址,OSM类型,OSM_id,来源
住宅区,同德晨曦园,residential,0.3,34.297885,108.709476,,way,1018709752,OpenStreetMap
住宅区,沣西新城,suburb,0.35,34.293447,108.710091,,node,11286420979,OpenStreetMap
住宅区,怡莘花园,residential,0.55,34.300265,108.715366,,way,1018709808,OpenStreetMap
住宅区,西部云谷-二期,residential,0.57,34.294356,108.717816,秦都区 同德路,way,1018741390,OpenStreetMap
住宅区,钓台街道,suburb,0.62,34.301251,108.714783,,node,2470141389,OpenStreetMap
住宅区,东张村,village,0.86,34.288491,108.712627,,node,14109980470,OpenStreetMap
住宅区,佳美花园,residential,0.96,34.304364,108.70856,,way,1019719807,OpenStreetMap
住宅区,金科·世界城,residential,1.24,34.307354,108.712165,,way,1019719817,OpenStreetMap
住宅区,西部云谷1期,residential,1.25,34.293478,108.698842,秦都区 丰耘路,way,1018671227,OpenStreetMap
住宅区,枫溪美郡,residential,1.29,34.296436,108.698005,,way,1018671244,OpenStreetMap
住宅区,沣西新城康定和园,residential,1.35,34.296601,108.726685,,way,1018741445,OpenStreetMap
住宅区,吾悦公馆,residential,1.37,34.303924,108.723576,,way,1019369956,OpenStreetMap
住宅区,金悦城,residential,1.4,34.308706,108.710473,,way,1019719812,OpenStreetMap
住宅区,隆桥瑞苑,residential,1.53,34.294164,108.728437,,way,1018741431,OpenStreetMap
住宅区,宜家沣都,residential,1.56,34.308936,108.719061,,way,1019719848,OpenStreetMap
住宅区,安谷苑小区,residential,1.8,34.305666,108.696072,,way,1551317258,OpenStreetMap
住宅区,田家堡村,village,2.04,34.303015,108.691388,,node,14109980463,OpenStreetMap
住宅区,陈杨寨街道,suburb,2.36,34.315199,108.700487,,node,3079732088,OpenStreetMap
住宅区,西张村,village,2.41,34.282977,108.691234,,node,14109980469,OpenStreetMap
住宅区,沣西·逸园,residential,2.52,34.277476,108.696608,,way,1018195551,OpenStreetMap
住宅区,沣润和园,residential,2.53,34.310616,108.733243,,way,1019311398,OpenStreetMap
住宅区,张后头村,village,2.55,34.286966,108.686578,,node,14109980468,OpenStreetMap
住宅区,五席坊村,village,2.67,34.279256,108.732583,,node,14109980475,OpenStreetMap
住宅区,龙湖景粼玖序,residential,2.75,34.274248,108.698118,,way,1317499365,OpenStreetMap
住宅区,辛旺西村,village,2.82,34.272607,108.723227,,node,14109980473,OpenStreetMap
住宅区,段村,village,2.84,34.321589,108.714927,,node,14109980461,OpenStreetMap
住宅区,辛旺东村,village,2.85,34.273936,108.727454,,node,14109980474,OpenStreetMap
住宅区,曹家寨村,village,2.95,34.298175,108.679951,,node,14109980462,OpenStreetMap
住宅区,上善嘉苑 11 号楼,neighbourhood,3.07,34.319802,108.729301,,node,9936538813,OpenStreetMap
住宅区,上善嘉苑,neighbourhood,3.08,34.320062,108.729116,,way,1084349264,OpenStreetMap
住宅区,上善嘉苑 12 号楼,neighbourhood,3.08,34.320227,108.728692,,node,9936538814,OpenStreetMap
